C,Pais,capital,Pobla,Superf,moneda,punto mas alto,altura,Pob-cap,Per-pob,Pib PC,Nominal,Eda-Me,E-vida,Cultiv,Fertil,Escol,Dens
e,Croacia,Zageb,4.292,56.594,Kuna,Dinara,1831,687.000,16.0%,"22,800",50.73,43,76.1,16,1.4,15,75.8
f,Togo,Lome,7.965,56.785,Franco,Monte Agou,986,956.000,12.0%,"1,600",4.43,19.8,65.4,45.2,4.38,12,140.3
e,Letonia,Riga,1.944,64.589,Euro,Colina Gaizina,312,621.000,31.9%,"25,700",27.69,43.6,74.7,18.6,1.51,16,30.1
e,Lituania,Vilna,2.823,65.300,Euro,Colina Aukštojas,294,517.000,18.3%,"30,000",42.76,43.7,75,34.9,1.59,17,43.2
a,Srilanka,Srijayapura,22.409,65.610,Rupia,Pidurutalagala,2524,128.000,0.6%,"12,300",80.52,32.8,76.9,20.7,2.07,14,341.5
a,Georgia,Tiflis,4.926,69.700,Lari,Shjara,5193,1147.000,23.3%,"10,000",14.33,38.1,76.4,5.8,1.76,15,70.7
e,Irlanda,Dublin,5.011,70.273,Euro,Carrauntoohil,1038,1169.000,23.3%,"69,200",304.40,36.8,80.9,15.4,1.97,19,71.3
f,Sierra leona,Freetown,6.163,71.740,Leone,Monte Bintumani (Loma Mansa),1948,1007.000,16.3%,"1,700",3.72,19,58.8,23.4,4.73,,85.9
m,Panama,Panama,3.753,75.420,Balboa,Volcán Barú,3475,1673.000,44.6%,"23,000",55.19,29.2,78.8,7.3,2.3,13,49.8
e,Serbia,Belgrado,7.111,77.474,Dinar,Midžor,2169,1182.000,16.6%,"14,500",37.75,42.6,75.7,37.7,1.44,14,91.8
e,Rep Checa,Praga,10.674,78.867,Corona,Sněžka,1603,1314.000,12.3%,"33,200",195.30,42.1,78.8,41,1.45,17,135.3
a,Emiratos arabes un,Abu Dabi,6.072,83.600,Dirham,"Sin nombre, oeste Jabal Bil Ays",1910,2415.000,39.8%,"67,900",348.70,30.3,77.7,0.5,2.32,,72.6
e,Austria,Viena,8.754,83.871,Euro,Großglockner,3798,1753.000,20.0%,"48,000",386.60,44,81.6,16.5,1.47,16,104.4
a,Azerbayan,Baku,9.961,86.600,Manat,Bazardüzü,4485,2374.000,23.8%,"17,400",37.56,31.3,72.8,22.8,1.89,13,115.0
a,Jordania,Aman,10.248,89.342,Dinar,Jabal Umm ad Dami,1854,1155.000,11.3%,"12,300",38.71,22.5,74.8,2,3.19,13,114.7
e,Portugal,Lisboa,10.839,92.090,Euro,"Ponta do Pico, isla Azores",2351,2884.000,26.6%,"28,900",204.60,42.2,79.4,11.9,1.53,17,117.7
e,Hungria,Budapest,9.851,93.000,Forintio,Kékes,1014,1714.000,17.4%,"27,500",124.40,42.3,76.1,48.5,1.45,16,105.9
a,Corea del sur,Seul,51.181,99.720,Won,Halla-san,1950,9774.000,19.1%,"37,700",1411.00,41.8,82.5,15.3,1.26,17,513.2
e,Islandia,Reikiavik,0.340,103.000,Corona,Hvannadalshnúkur,2110,184.000,54.1%,"49,200",20.05,36.5,83.1,1.2,2,19,3.3
m,Guatemala,Guatemala,15.460,108.889,Quetzal,Volcán Tajumulco,4220,2918.000,18.9%,"7,900",67.50,22.1,72.6,14.2,2.77,11,142.0
m,Cuba,La Habana,11.147,110.860,Peso,Pico Turquino,1974,2137.000,19.2%,"11,900",81.56,41.5,78.8,33.8,1.71,14,100.6
e,Bulgaria,Sofia,7.101,110.879,Lev,Musala,2925,1226.000,17.3%,"20,300",52.39,42.7,74.7,29.9,1.46,15,64.0
f,Liberia,Monrovia,4.689,111.369,Dólar,Monte Wuteve,1440,1264.000,27.0%,900,2.10,17.8,63.3,5.2,5.06,,42.1
m,Honduras,Tegucigalpa,9.038,112.000,Lempira,Cerro Las Minas,2870,1123.000,12.4%,"5,300",21.37,23,71.2,9.1,2.67,11,80.7
f,Benin,Porto Novo,11.038,112.622,Franco,Sokbaro,658,268.000,2.4%,"2,100",8.58,18.2,62.3,22.9,4.77,12,98.0
f,Eritrea,Asmara,5.918,117.600,Nakfa,Soira,3018,804.000,13.6%,"1,400",5.35,19.7,65.2,6.8,3.99,5,50.3
f,Malaui,Lilongue,19.196,118.484,Kwacha,Monte Mulanje,3002,905.000,4.7%,"1,100",5.49,16.5,61.7,38.2,5.49,11,162.0
a,Corea del norte,Piong Yang,25.248,120.538,Won,Monte Paektu,2744,2863.000,11.3%,"1,700",28.00,34,70.7,19.5,1.95,12,209.5
m,Nicaragua,Managua,6.025,130.370,Córdoba,Mogotón,2107,956.000,15.9%,"5,500",13.23,25.7,73.5,12.5,1.89,,46.2
